S,American Call,European Call
0.0,0.0,-9.584098567869185e-186
1.0,1.2815429668381275e-05,0.0016634760738041604
2.0,0.001895171183970948,0.031852458368742426
3.0,0.020233562810213844,0.13470813315335334
4.0,0.08470977418200075,0.3325114830279806
5.0,0.2243945835477277,0.6283261349137124
6.0,0.4571503487352411,1.0158028231483593
7.0,0.7888012570170404,1.485077635524827
8.0,1.2164608834260722,2.025640939291974
9.0,1.7322319451780532,2.6275906593268474
10.0,2.325997526882058,3.282098246699006
11.0,2.9871904467657524,3.981508862320656
12.0,3.7057788302090278,4.719281896649463
13.0,4.472735676005157,5.489870629213918
14.0,5.280199280628672,6.288587179731308
15.0,6.121463262172467,7.111473205164719
16.0,6.990882161752198,7.955184361772897
17.0,7.883742857695103,8.81689066164137
18.0,8.796129471491126,9.694192196988919
19.0,9.724795869381005,10.585048635806748
20.0,10.66705201609876,11.48772058512888
21.0,11.6206660953468,12.40072096067855
22.0,12.583782048894106,13.322774688460159
23.0,13.55485112101711,14.252785295014476
24.0,14.532575596192,15.189807171917863
25.0,15.515862872555594,16.133022506999676
26.0,16.503788142081245,17.08172205327661
27.0,17.495564151506628,18.035289056637552
28.0,18.490516743171227,18.993185787443892
29.0,19.488065092974807,19.954942222949114
30.0,20.48770575499286,20.920146510369857
